instance_name,strategy,budget,seed,status,has_solution,incumbent_standardized,optimum,gap_vs_opt,wall_seconds
csched008,best_estimate,60.0,0,time limit exceeded,True,174.0,173.0,0.005780346820809248,60.01
csched008,best_estimate,60.0,1,time limit exceeded,True,174.0,173.0,0.005780346820809248,60.0
csched008,best_estimate,60.0,2,time limit exceeded,True,174.0,173.0,0.005780346820809248,60.01
csched008,best_estimate,900.0,0,integer optimal solution,True,173.0,173.0,0.0,298.58
csched008,best_estimate,900.0,1,integer optimal solution,True,173.0,173.0,0.0,229.32
csched008,best_estimate,900.0,2,time limit exceeded,True,173.0,173.0,0.0,899.97
csched008,depth_first,10.0,0,"time limit exceeded, no integer solution",False,,173.0,,10.01
csched008,depth_first,10.0,1,time limit exceeded,True,184.0,173.0,0.06358381502890173,10.0
csched008,depth_first,10.0,2,time limit exceeded,True,182.0,173.0,0.05202312138728324,10.0
csched008,depth_first,300.0,0,time limit exceeded,True,173.0,173.0,0.0,300.06
csched008,depth_first,300.0,1,time limit exceeded,True,176.0,173.0,0.017341040462427744,300.01
csched008,depth_first,300.0,2,time limit exceeded,True,179.0,173.0,0.03468208092485549,300.01
csched008,depth_first,60.0,0,time limit exceeded,True,176.0,173.0,0.017341040462427744,60.0
csched008,depth_first,60.0,1,time limit exceeded,True,184.0,173.0,0.06358381502890173,60.0
csched008,depth_first,60.0,2,time limit exceeded,True,182.0,173.0,0.05202312138728324,60.0
csched008,depth_first,900.0,0,time limit exceeded,True,173.0,173.0,0.0,900.04
csched008,depth_first,900.0,1,time limit exceeded,True,175.0,173.0,0.011560693641618497,899.97
csched008,depth_first,900.0,2,time limit exceeded,True,174.0,173.0,0.005780346820809248,900.01
drayage-100-23,auto,10.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.11
drayage-100-23,auto,10.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,auto,10.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
drayage-100-23,auto,300.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,auto,300.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
drayage-100-23,auto,300.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,auto,60.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,auto,60.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,auto,60.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,auto,900.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.11
drayage-100-23,auto,900.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,auto,900.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
drayage-100-23,best_bound,10.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.11
drayage-100-23,best_bound,10.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_bound,10.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_bound,300.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_bound,300.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
drayage-100-23,best_bound,300.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
drayage-100-23,best_bound,60.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_bound,60.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
drayage-100-23,best_bound,60.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_bound,900.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_bound,900.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_bound,900.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
drayage-100-23,best_estimate,10.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.11
drayage-100-23,best_estimate,10.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,10.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,300.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,300.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,300.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,60.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,60.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,60.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,900.0,0,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.11
drayage-100-23,best_estimate,900.0,1,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.1
drayage-100-23,best_estimate,900.0,2,integer optimal solution,True,103333.87407302856,103333.87407,2.9308483558753864e-11,0.09
