instance,policy,budget,seed,resolved_policy,resolution_reason,source_run_id,status,incumbent,ttff,elapsed,gap_vs_opt
atlanta-ip,budgeted_portfolio,900,1,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s1_1788001322,node_limit,,,883.9647805000423,
atlanta-ip,instance_aware_portfolio,900,1,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s1_1788001322,node_limit,,,883.9647805000423,
atlanta-ip,multi_feature_portfolio,900,1,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s1_1788001322,node_limit,,,883.9647805000423,
atlanta-ip,budgeted_portfolio,900,2,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s2_1788002224,time_limit,,,900.0017273330013,
atlanta-ip,instance_aware_portfolio,900,2,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s2_1788002224,time_limit,,,900.0017273330013,
atlanta-ip,multi_feature_portfolio,900,2,best_estimate,budget>180,p45_atlanta-ip_best_estimate_b900_s2_1788002224,time_limit,,,900.0017273330013,
csched007,budgeted_portfolio,10,0,boltzmann_adaptive,budget<=180,p45_csched007_boltzmann_adaptive_b10_s0_1788020199,time_limit,,,10.002894082979765,
csched007,instance_aware_portfolio,10,0,boltzmann_adaptive,frac_count=84<5000,p45_csched007_boltzmann_adaptive_b10_s0_1788020199,time_limit,,,10.002894082979765,
csched007,multi_feature_portfolio,10,0,boltzmann_adaptive,votes=0/4,p45_csched007_boltzmann_adaptive_b10_s0_1788020199,time_limit,,,10.002894082979765,
csched007,budgeted_portfolio,10,1,boltzmann_adaptive,budget<=180,p45_csched007_boltzmann_adaptive_b10_s1_1788020225,time_limit,,,10.002060915983748,
csched007,instance_aware_portfolio,10,1,boltzmann_adaptive,frac_count=84<5000,p45_csched007_boltzmann_adaptive_b10_s1_1788020225,time_limit,,,10.002060915983748,
csched007,multi_feature_portfolio,10,1,boltzmann_adaptive,votes=0/4,p45_csched007_boltzmann_adaptive_b10_s1_1788020225,time_limit,,,10.002060915983748,
csched007,budgeted_portfolio,10,2,boltzmann_adaptive,budget<=180,p45_csched007_boltzmann_adaptive_b10_s2_1788020244,time_limit,,,10.002295874990523,
csched007,instance_aware_portfolio,10,2,boltzmann_adaptive,frac_count=84<5000,p45_csched007_boltzmann_adaptive_b10_s2_1788020244,time_limit,,,10.002295874990523,
csched007,multi_feature_portfolio,10,2,boltzmann_adaptive,votes=0/4,p45_csched007_boltzmann_adaptive_b10_s2_1788020244,time_limit,,,10.002295874990523,
csched007,budgeted_portfolio,60,0,boltzmann_adaptive,budget<=180,p45_csched007_boltzmann_adaptive_b60_s0_1788020268,node_limit,,,22.780968082952313,
csched007,instance_aware_portfolio,60,0,boltzmann_adaptive,frac_count=84<5000,p45_csched007_boltzmann_adaptive_b60_s0_1788020268,node_limit,,,22.780968082952313,
csched007,multi_feature_portfolio,60,0,boltzmann_adaptive,votes=0/4,p45_csched007_boltzmann_adaptive_b60_s0_1788020268,node_limit,,,22.780968082952313,
csched007,budgeted_portfolio,60,1,boltzmann_adaptive,budget<=180,p45_csched007_boltzmann_adaptive_b60_s1_1788020291,node_limit,,,21.641915666987188,
csched007,instance_aware_portfolio,60,1,boltzmann_adaptive,frac_count=84<5000,p45_csched007_boltzmann_adaptive_b60_s1_1788020291,node_limit,,,21.641915666987188,
csched007,multi_feature_portfolio,60,1,boltzmann_adaptive,votes=0/4,p45_csched007_boltzmann_adaptive_b60_s1_1788020291,node_limit,,,21.641915666987188,
