instance,policy,budget,seed,status,status_family,incumbent,optimum,gap_vs_opt,final_gap,nodes,ttff,elapsed,root_fractional_count,root_fractional_ratio,root_integer_variable_count,root_solve_seconds,root_integrality_gap_l1,root_binary_near_integral_ratio,root_binary_midpoint_ratio
academictimetablesmall,learned_portfolio,60,0,time_limit,time_limit,,0.0,,,257,,60.00418708304642,4991,0.1725437322823757,28926,0.1775284589966759,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_portfolio,60,1,time_limit,time_limit,,0.0,,,261,,60.08167304197559,5250,0.1814976146027795,28926,0.1888503339723684,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_portfolio,60,2,time_limit,time_limit,,0.0,,,267,,60.07750291697448,5258,0.18177418239645993,28926,0.17448495898861438,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,learned_portfolio,900,0,node_limit,node_limit,,0.0,,,401,,92.16282433399465,4991,0.1725437322823757,28926,0.17900149995693937,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_portfolio,900,1,node_limit,node_limit,,0.0,,,401,,92.23422383301659,5250,0.1814976146027795,28926,0.18751970800803974,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_portfolio,900,2,node_limit,node_limit,,0.0,,,401,,90.65642841596855,5258,0.18177418239645993,28926,0.18410862499149516,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,learned_v2,10,0,time_limit,time_limit,,0.0,,,41,,10.123673249967396,4991,0.1725437322823757,28926,0.17913754103938118,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_v2,10,1,time_limit,time_limit,,0.0,,,41,,10.003478833998088,5250,0.1814976146027795,28926,0.19729004200780764,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_v2,10,2,time_limit,time_limit,,0.0,,,41,,10.080416792014148,5258,0.18177418239645993,28926,0.17845766700338572,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,learned_v2,300,0,node_limit,node_limit,,0.0,,,401,,129.66774629201973,4991,0.1725437322823757,28926,0.16908895899541676,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_v2,300,1,node_limit,node_limit,,0.0,,,401,,132.047759625013,5250,0.1814976146027795,28926,0.18909845902817324,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_v2,300,2,node_limit,node_limit,,0.0,,,401,,130.6648814160144,5258,0.18177418239645993,28926,0.1761779579683207,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,learned_v2,60,0,time_limit,time_limit,,0.0,,,213,,60.176668625033926,4991,0.1725437322823757,28926,0.17398395895725116,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_v2,60,1,time_limit,time_limit,,0.0,,,211,,60.04978008300532,5250,0.1814976146027795,28926,0.18039258301723748,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_v2,60,2,time_limit,time_limit,,0.0,,,213,,60.003627000027336,5258,0.18177418239645993,28926,0.17054125003051013,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,learned_v2,900,0,node_limit,node_limit,,0.0,,,401,,129.17648766597267,4991,0.1725437322823757,28926,0.17184250004356727,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,learned_v2,900,1,node_limit,node_limit,,0.0,,,401,,132.3221188329626,5250,0.1814976146027795,28926,0.19360083399806172,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,learned_v2,900,2,node_limit,node_limit,,0.0,,,401,,130.27367466699798,5258,0.18177418239645993,28926,0.17298520798794925,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,random_uniform,10,0,time_limit,time_limit,,0.0,,,15,,10.054689500015229,4991,0.1725437322823757,28926,6.984382833004929,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,random_uniform,10,1,time_limit,time_limit,,0.0,,,15,,10.076085582957603,5250,0.1814976146027795,28926,7.041435624996666,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,random_uniform,10,2,time_limit,time_limit,,0.0,,,15,,10.002607708971482,5258,0.18177418239645993,28926,7.024341624986846,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,random_uniform,300,0,node_limit,node_limit,,0.0,,,401,,95.43836495798314,4991,0.1725437322823757,28926,7.019138000032399,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,random_uniform,300,1,node_limit,node_limit,,0.0,,,401,,92.81536108296132,5250,0.1814976146027795,28926,7.015913916984573,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,random_uniform,300,2,node_limit,node_limit,,0.0,,,401,,93.02767808304634,5258,0.18177418239645993,28926,7.044445457984693,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,random_uniform,60,0,time_limit,time_limit,,0.0,,,231,,60.001087291981094,4991,0.1725437322823757,28926,6.995792041998357,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,random_uniform,60,1,time_limit,time_limit,,0.0,,,247,,60.00224033300765,5250,0.1814976146027795,28926,6.983233375009149,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,random_uniform,60,2,time_limit,time_limit,,0.0,,,243,,60.02118212496862,5258,0.18177418239645993,28926,7.023478624993004,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,random_uniform,900,0,node_limit,node_limit,,0.0,,,401,,95.44239549996564,4991,0.1725437322823757,28926,7.0017052909825,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,random_uniform,900,1,node_limit,node_limit,,0.0,,,401,,93.03992654202739,5250,0.1814976146027795,28926,7.014434167009313,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,random_uniform,900,2,node_limit,node_limit,,0.0,,,401,,93.00449933396885,5258,0.18177418239645993,28926,6.998948291002307,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,safeguarded_hybrid,10,0,time_limit,time_limit,,0.0,,,15,,10.086507082975004,4991,0.1725437322823757,28926,7.007868041982874,0.014855599880935308,0.9613150798589504,0.027172785729101846
